,in_row_id,in_ra,in_dec,ra,dec,infobits,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtype,imgtypecode,obsdate,obsjd,exptime,filefracday,seeing,airmass,moonillf,moonesb,maglimit,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid
892,1,344.609650562745,39.658712282541295,344.8930319,40.02569667,0,734,7,2,25,1,zg,2381410182515,2381,238141018,1,object,o,2023-07-10 09:50:40.132+00,2460135.9101852,30,20230710410174,2.14943004,1.08899999,-0.464536995,0,20.7327003,1536.5,1540.5,344.8930434089,40.02568431556,-0.0002812742436443,5.577144199671e-06,-5.616653411608e-06,-0.0002812722060893,345.44957195,40.46611806,344.31414541,40.44853573,344.343699,39.58259649,345.46502727,39.59975825,2023-11-07 00:00:00+00,1
893,1,344.609650562745,39.658712282541295,344.89487574,40.01703012,0,734,7,2,25,1,zg,1655404082515,1655,165540408,1,object,o,2021-07-14 09:41:53.22+00,2459409.9040856,30,20210714404074,2.22766995,1.07599998,0.190876007,0,20.9192009,1536.5,1540.5,344.8949243865,40.01700242883,-0.000281267810072,5.725691454478e-06,-5.765201256161e-06,-0.0002812657934179,345.45108694,40.45764067,344.31584825,40.43969794,344.34588951,39.57376852,345.46702988,39.59126716,2021-11-03 00:00:00+00,1
894,1,344.609650562745,39.658712282541295,344.86015358,40.02677734,0,734,7,2,25,2,zr,1448140552515,1448,144814055,1,object,o,2020-12-19 03:22:25.069+00,2459202.6405556,30,20201219140498,3.21587992,1.14100003,0.231591001,0,20.1812,1536.5,1540.5,344.8602058793,40.02672707228,-0.0002812321751047,5.906332408764e-06,-5.945839026615e-06,-0.0002812301841456,345.41593341,40.46763234,344.28068697,40.44903083,344.31164663,39.58329967,345.43274064,39.60143272,2021-03-31 00:00:00+00,1
895,1,344.609650562745,39.658712282541295,344.87306802,40.01397684,0,734,7,2,25,2,zr,1403246732515,1403,140324673,1,object,o,2020-11-04 05:55:18.935+00,2459157.7467361,30,20201104246736,1.70753002,1.097,-0.884720981,0,20.5337009,1536.5,1540.5,344.8731050796,40.01396302356,-0.0002812403474082,5.866502468273e-06,-5.908918386322e-06,-0.0002812350904532,345.42881804,40.45477187,344.2937679,40.43630809,344.32452387,39.57051427,345.44549858,39.58854749,2021-03-31 00:00:00+00,1
896,1,344.609650562745,39.658712282541295,344.87546575,40.02755783,0,734,7,2,25,2,zr,2123341112515,2123,212334111,1,object,o,2022-10-25 08:11:12.543+00,2459877.8411111,30,20221025341100,1.83440006,1.347,-0.000178274,0,20.7679005,1536.5,1540.5,344.875465392,40.02753291742,-0.0002812546548685,5.791990846256e-06,-5.820776563717e-06,-0.0002812617317299,345.43166472,40.46820374,344.29619268,40.45002357,344.32646367,39.58424744,345.4478867,39.60198164,2023-01-09 00:00:00+00,1
897,1,344.609650562745,39.658712282541295,344.89413433,40.01362192,0,734,7,2,25,2,zr,1639450422515,1639,163945042,1,object,o,2021-06-28 10:48:37.077+00,2459393.9504282,30,20210628450417,1.62904,1.07099998,-0.827156007,0,20.5795994,1536.5,1540.5,344.8941881321,40.01361447572,-0.000281251255418,5.705846350057e-06,-5.745353630343e-06,-0.0002812492361462,345.45032656,40.45411185,344.31524318,40.43627628,344.34513671,39.57043209,345.46618909,39.58781834,2023-01-09 00:00:00+00,2
898,1,344.609650562745,39.658712282541295,344.87621693,40.02791609,0,734,7,2,25,1,zg,1783215832515,1783,178321583,1,object,o,2021-11-19 05:10:48.061+00,2459537.7158333,30,20211119215822,1.78600001,1.12,0.999763012,0,19.0461998,1536.5,1540.5,344.8762636115,40.02789700419,-0.0002812512656054,5.832796631703e-06,-5.872305188633e-06,-0.0002812492641404,345.43218559,40.46865597,344.29685399,40.45033116,344.32743041,39.58450874,345.44868492,39.60239594,2022-03-07 00:00:00+00,1
899,1,344.609650562745,39.658712282541295,344.86776803,40.01300816,0,734,7,2,25,2,zr,1920517282515,1920,192051728,1,object,o,2022-04-05 12:24:53.711+00,2459675.0172801,30,20220405517268,2.42785001,2.31699991,0.172399998,0,19.7467995,1536.5,1540.5,344.8677818743,40.01298878986,-0.0002813303656006,5.537373555763e-06,-5.576890240202e-06,-0.0002813283219047,345.42456629,40.45314116,344.28865871,40.43614109,344.31810244,39.57019042,345.4399904,39.58673945,2022-07-07 00:00:00+00,1
900,1,344.609650562745,39.658712282541295,344.89149602,40.0140867,33554432,734,7,2,25,1,zg,2027433182515,2027,202743318,1,object,o,2022-07-21 10:23:47.443+00,2459781.9331829,30,20220721433079,1.79826999,1.01600003,-0.416424006,0,19.8292999,1536.5,1540.5,344.8914992077,40.0140916393,-0.0002812662705144,5.704577996034e-06,-5.744108824711e-06,-0.0002812637267179,345.44773692,40.45463609,344.31258912,40.4367978,344.34244614,39.57089094,345.46355794,39.58828038,2022-11-08 00:00:00+00,1
901,1,344.609650562745,39.658712282541295,344.86081347,40.01798531,0,734,7,2,25,2,zr,1577490522515,1577,157749052,1,object,o,2021-04-27 11:46:21.247+00,2459331.9905208,30,20210427490521,2.87895012,1.77699995,-0.998214006,0,19.3076992,1536.5,1540.5,344.8608134265,40.01797289966,-0.0002812967280295,5.676457680118e-06,-5.715971043451e-06,-0.0002812947041796,345.41719902,40.45848719,344.28156639,40.44072125,344.31166,39.57482171,345.43322089,39.5921184,2021-06-30 00:00:00+00,1
